variant,decile,score_min,score_max,tracks,ever_charted_rate,mean_top10_days,median_top10_days
A,1,56.03,61.040000000000006,139,0.03597122302158273,0.050359712230215826,0
A,2,61.059999999999995,62.46000000000001,139,0.08633093525179857,0.15827338129496402,0
A,3,62.46000000000001,63.55,139,0.1223021582733813,0.2949640287769784,0
A,4,63.55500000000001,64.46000000000001,139,0.11510791366906475,0.2014388489208633,0
A,5,64.48,65.15500000000002,138,0.2608695652173913,0.6956521739130435,0.0
A,6,65.16,65.92,139,0.2949640287769784,1.079136690647482,0
A,7,65.92,66.75,139,0.4172661870503597,1.669064748201439,0
A,8,66.75500000000001,67.68,139,0.49640287769784175,3.4964028776978417,0
A,9,67.69000000000001,68.85000000000001,139,0.7553956834532374,5.942446043165468,4
A,10,68.86,73.645,139,0.8633093525179856,12.676258992805755,8
B,1,56.03,61.06,159,0.025157232704402517,0.031446540880503145,0
B,2,61.07000000000001,62.41,159,0.09433962264150944,0.14465408805031446,0
B,3,62.41,63.47000000000001,159,0.14465408805031446,0.2893081761006289,0
B,4,63.480000000000004,64.33,159,0.18867924528301888,0.4025157232704403,0
B,5,64.34,65.05,158,0.23417721518987342,0.6075949367088608,0.0
B,6,65.05000000000001,65.735,159,0.2893081761006289,1.0377358490566038,0
B,7,65.735,66.67000000000002,159,0.3522012578616352,1.270440251572327,0
B,8,66.68,67.62,159,0.41509433962264153,2.0817610062893084,0
B,9,67.64,68.85000000000001,159,0.6352201257861635,4.528301886792453,2
B,10,68.85000000000001,73.645,159,0.7861635220125787,12.566037735849056,8
